"","V1","V2"
"0",56,4
"1",6,1
"2",39,2
"3",4,1
"4",41,1
"5",42,2
"6",1,1
"7",11,4
"8",12,4
"9",13,4
"10",14,3
"11",15,4
"12",16,1
"13",17,4
"14",2,4
"15",21,3
"16",22,1
"17",23,3
"18",24,1
"19",25,2
"20",28,1
"21",29,2
"22",3,1
"23",33,1
"24",10,4
"25",8,1
"26",32,1
"27",43,2
"28",44,2
"29",46,2
"30",47,2
"31",49,2
"32",5,1
"33",51,2
"34",52,3
"35",53,2
"36",54,2
"37",55,4
"38",61,3
"39",64,4
"40",65,3
"41",68,2
"42",69,2
"43",7,1
"44",70,4
"45",71,2
"46",72,4
"47",74,4
"48",75,4
"49",76,1
"50",77,1
"51",9,4
"52",35,2
"53",36,2
"54",37,2
"55",38,2
"56",40,2
"57",18,3
"58",19,3
"59",20,3
"60",26,2
"61",27,2
"62",30,3
"63",31,3
"64",34,4
"65",45,4
"66",48,4
"67",50,2
"68",57,3
"69",58,3
"70",59,3
"71",60,4
"72",62,3
"73",63,3
"74",66,3
"75",67,2
"76",73,4
