"","V1","V2"
"1",56,4
"2",6,4
"3",39,4
"4",4,1
"5",41,3
"6",42,3
"7",1,1
"8",11,4
"9",12,4
"10",13,2
"11",14,4
"12",15,4
"13",16,3
"14",17,1
"15",2,3
"16",21,1
"17",22,2
"18",23,1
"19",24,2
"20",25,3
"21",28,4
"22",29,4
"23",3,2
"24",33,3
"25",10,2
"26",8,3
"27",32,4
"28",43,2
"29",44,1
"30",46,3
"31",47,1
"32",49,4
"33",5,1
"34",51,2
"35",52,4
"36",53,2
"37",54,2
"38",55,2
"39",61,2
"40",64,4
"41",65,4
"42",68,2
"43",69,4
"44",7,4
"45",70,4
"46",71,1
"47",72,2
"48",74,2
"49",75,2
"50",76,1
"51",77,1
"52",9,2
"53",35,3
"54",36,2
"55",37,2
"56",38,4
"57",40,1
"58",18,2
"59",19,3
"60",20,3
"61",26,4
"62",27,3
"63",30,3
"64",31,1
"65",34,4
"66",45,3
"67",48,4
"68",50,3
"69",57,3
"70",58,4
"71",59,3
"72",60,3
"73",62,4
"74",63,3
"75",66,4
"76",67,4
"77",73,3
